Title,Year,Peak_AUS,Peak_AUT,Peak_FRA,Peak_GER,Peak_IRE,Peak_NZ,Peak_SWI,Peak_UK,Peak_US,Peak_USDance,Sales,Certifications,Album,Unnamed,Decade,Peak_BEL,Peak_SCO
"""Timebomb""",2012,12,58,46,56,26,33,—,31,,1,,,Non-album single,,10,,
"""Flower""",2012,—,—,—,—,—,—,—,96,,—,,,The Abbey Road Sessions,,10,,
"""Limpido"" (with Laura Pausini)",2013,—,—,—,—,—,—,66,—,,—,,,20 – The Greatest Hits,,10,,
"""Into the Blue""",2014,46,37,47,31,9,—,32,12,,1,,,Kiss Me Once,,10,,
"""I Was Gonna Cancel""",2014,—,—,—,—,—,—,—,59,,5,,,,,10,,
"""Crystallize""",2014,115,—,139,—,88,—,—,60,,—,,,Non-album single,,10,,
"""Only You""(with James Corden)",2015,—,—,—,—,—,—,—,155,,—,,,Kylie Christmas,,10,,
"""100 Degrees""(with Dannii Minogue)",2015,—,—,—,—,—,—,—,—,,—,,,Kylie Christmas,,10,,
"""Every Day's Like Christmas""",2015,—,—,—,—,—,—,—,—,,—,,,Kylie Christmas,,10,,
"""At Christmas""",2016,—,—,—,—,—,—,—,—,,—,,,Kylie Christmas: Snow Queen Edition,,10,,
"""Wonderful Christmastime""(with Mika)",2016,—,—,—,—,—,—,—,—,,—,,,Kylie Christmas: Snow Queen Edition,,10,,
"""Dancing""",2018,46,—,—,71,—,—[d],—,38,,1,,,Golden,,10,,
"""Stop Me from Falling""",2018,164[e],—,—,—,—,—,—,52,,—,,,,,10,,
"""Golden""",2018,—,—,—,—,—,—,—,—[f],,—,,,Golden,,10,,
"""A Lifetime to Repair""",2018,—,—,—,—,—,—,—,—[g],,—,,,Golden,,10,,
"""Music's Too Sad Without You""(with Jack Savoretti)",2018,—,—,—,—,—,—,—,—[h],,—,,,Golden,,10,,
"""Sincerely Yours""",2018,—,—,—,—,—,—,—,—,,—,,,Golden,,10,,
"""New York City""",2019,—[i],—,—,—,—,—,—,—[j],,—,,,Step Back in Time: The Definitive Collection,,10,,
"""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.",,"""—"" denotes a title that did not chart, or was not released in that territory.",,,"""—"" denotes a title that did not chart, or was not released in that territory.",,10,,
"""Say Something""",2020,5,,,,—,40,,56,,18,,,Disco,,20,14,3
"""Magic""",2020,5,,,,—,28,,53,,17,,,Disco,,20,17,2
"""Real Groove""(solo or Studio 2054 Remix with Dua Lipa)",2020,—,,,,—,8,,95,,15,,,Disco,,20,—,—
"""Starstruck (Kylie Minogue Remix)""(with Years & Years)",2021,—,,,,55,24,,31,,18,,,Night Call,,20,80,—
"""A Second to Midnight""(with Years & Years)",2021,—,,,,—,—,,—[k],,26,,,Disco: Guest List Edition,,20,—,—
"""Kiss of Life""(with Jessie Ware)",2021,—,,,,—,—,,—,,49,,,Disco: Guest List Edition,,20,—,—
"""Can’t Stop Writing Songs About You""(with Gloria Gaynor)[80]",2022,—,,,,—,—,,—,,—,,,Disco: Guest List Edition,,20,—,—
"""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.",,,,"""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.",,"""—"" denotes a title that did not chart, or was not released in that territory.",,"""—"" denotes a title that did not chart, or was not released in that territory.",,,"""—"" denotes a title that did not chart, or was not released in that territory.",,20,"""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory."
